symbol	TCGA-91-6840	TCGA-78-8655	TCGA-NJ-A7XG	TCGA-38-4625	TCGA-38-4627	TCGA-85-A4QQ	TCGA-56-8628	TCGA-63-A5M9	TCGA-77-8128	TCGA-34-5231
	0	0	0	0	0	0	0	0	0	0
ZNF706	1975	1919	4883	9257	4070	8730	3964	5223	7267	6925
LYPLA1	2544	2100	2573	35845	5218	8572	2286	2779	2962	9655
CRISPLD1	79	204	280	125	1671	601	3834	1538	266	2087
COPS5	1267	1845	2956	13249	3115	6656	2532	2379	3778	6461
RDH10	2175	850	10434	7140	10346	9243	3270	1547	3417	6253
EPX	74	13	12	63	3	7	18	28	13	45
AKAP1	2676	5636	7385	7560	2674	4235	1223	3736	6199	11214
COIL	1141	1460	911	2856	1101	1087	636	3142	1533	3701
TRIM25	1315	995	1735	5852	1762	2590	2124	4135	2722	5179
SCPEP1	7546	10866	1366	14471	7972	11787	7384	41592	10890	8411
SPOP	1992	3030	3151	7186	5287	1953	1678	3822	2842	6458
TBX2	1954	938	1448	1531	3174	140	1948	700	8557	1119
SLC35B1	1938	3245	3176	8005	3528	2475	1383	5227	3050	7211
TBX4	494	255	432	324	995	3	477	166	265	1133
NACA3P	26	132	80	383	63	128	90	211	92	396
TEX14	44	25	17	76	49	15	53	89	25	172
FAM117A	743	728	886	2343	785	803	747	2021	779	3244
NCAPH	740	197	98	5403	256	1128	553	6622	1843	4416
LRAT	38	72	405	18	135	2715	22	615	10	1244
KIAA0922	499	1134	725	1742	1325	1421	1329	1014	1345	1820
MND1	82	62	56	1591	99	150	128	527	302	975
TRIM6	178	427	292	52	465	44	135	134	34	58
ABCC11	5	7	14	61	49	22	57	21	28	53
PAPD5	804	419	772	5106	947	1353	826	1743	1206	2037
ADCY7	589	421	662	3501	851	791	1331	967	507	1935
CEP89	863	965	1111	2876	1125	1676	1178	2003	2759	2821
TSHZ3	131	243	74	443	1375	686	1251	1330	504	829
ECHDC2	901	2972	10347	2225	993	1075	4170	1065	1612	4598
TAS2R8	0	0	0	0	0	0	0	0	0	0
PLBD1	1186	1662	1204	4770	2127	792	1071	2030	2445	8168
TAS2R10	0	1	4	1	0	7	10	4	0	1
PRB2	0	0	1	0	1	1	12	1	0	4
PYROXD1	199	355	579	1311	683	606	468	666	1069	1196
IAPP	0	0	0	10	0	11	4	8	7	18
KCNJ8	260	230	84	1154	1714	98	389	256	202	347
	0	0	0	0	0	0	0	0	0	0
BCL2L14	69	58	113	116	113	13	73	38	9	188
TAS2R9	0	0	0	0	0	0	0	0	0	0
	2	0	0	0	0	1	1	0	0	0
PSPC1	1204	1249	1227	4240	1098	839	1131	3589	1612	4558
ZNF549	597	268	157	497	334	297	459	477	52	1800
A1BG	15	14	65	12	38	28	65	15	13	82
ZSCAN18	1415	919	152	1700	1514	906	2280	2050	970	274
ZNF211	1128	469	1298	671	247	1404	696	495	180	911
PDZRN3	197	232	134	469	2480	63	658	408	661	1352
RGSL1	0	0	0	0	0	0	0	19	10	3
LHX4	40	28	107	41	14	66	60	119	75	127
RNF2	889	726	889	5338	1905	1986	1041	2777	2083	4481
TRMT1L	852	745	1363	4915	1678	1004	877	1651	1478	2140
SEC22A	587	580	537	1602	1322	1490	812	1358	577	1431
CSTA	81	236	34	893	535	5222	916	5040	2824	14828
DPPA4	16	3	0	7	9	1	8	3	2	33
POPDC2	113	71	48	94	223	130	199	65	86	88
B4GALT4	1470	724	813	1426	2505	1742	3995	3505	2409	2995
NAA50	5067	2618	3547	23861	8395	12247	7759	16285	8460	21025
CD80	55	56	26	359	131	53	76	82	14	106
KIF18A	366	204	146	2830	150	338	261	3340	1064	1419
GJA8	0	0	0	0	0	0	0	0	0	1
DESI2	3179	2279	3381	8007	6388	3458	1714	5187	7209	16454
MAPK8IP1	405	355	571	705	975	183	334	133	1171	331
CRY2	1186	1414	4469	1597	3073	1013	1442	1918	1496	1908
PEX16	784	1299	1527	3019	1592	1410	710	2294	1355	1804
DEPDC7	155	42	5	443	210	102	106	438	160	689
CAT	1239	3086	2495	15456	6300	764	3503	8566	1729	3817
PILRB	483	158	393	214	17	439	433	2863	500	2340
ZMYM2	1571	2840	4031	3443	3965	2341	2487	6644	2670	5091
GJB6	100	4429	34	4	111	30595	271	3156	10931	485
GJA3	48	3	5	314	23	1046	7	563	416	157
TBC1D15	3225	1378	1347	6606	3216	2571	2006	4896	2485	4468
ADGRB2	376	65	472	284	709	480	915	547	504	221
HCRTR1	3	1	18	6	0	10	11	1	11	9
ZCCHC17	1265	774	1012	6176	2256	1931	1056	1703	1044	2460
FABP3	1249	290	73	510	653	76	453	152	229	278
KHDRBS1	6905	4384	6506	18148	9903	9669	7350	10124	9149	19874
TMEM39B	588	481	754	1826	1046	1361	1002	1094	1048	2337
CCRL2	109	231	81	670	350	22	214	108	29	184
CCR2	250	274	24	499	1029	10	394	145	29	227
POLR3GL	548	1308	1600	2704	2240	1489	936	1924	688	2238
GHSR	1	0	0	0	0	0	1	3	7	0
TNFSF10	2101	8663	7967	13574	8350	61101	16822	10731	18056	3239
ZNF639	1095	876	1054	4011	2044	2493	1854	6425	3343	23984
SLITRK3	1	0	0	2	80	0	4	280	9	392
PIK3CA	1222	771	803	2454	2682	2720	2011	4852	3550	16640
PDS5A	3808	4870	9092	11918	6056	5401	5322	8686	4896	13279
TMEM156	47	102	159	166	141	28	91	303	15	94
LIAS	182	269	530	1234	357	437	263	671	300	868
CPXM2	88	134	45	687	9079	169	1737	2567	8440	1330
TMEM54	581	2118	3778	7822	2927	14381	2554	2292	3618	3925
ZSCAN20	89	54	108	167	176	146	178	164	94	299
CSMD2	18	40	37	68	379	11	114	141	230	370
HPCA	6	4	30	35	17	28	142	10	29	47
LRIF1	873	544	477	1324	863	1343	906	1139	624	2614
TMIGD3	87	446	77	1405	1016	26	126	242	114	252
CLCC1	841	856	1272	1489	1284	1520	1144	1297	859	2398
GPSM2	513	589	699	2661	739	3164	1126	1749	1635	4569
GTDC1	540	512	763	1076	1866	2462	1105	1522	1029	1678
CXCR4	2378	1734	1208	6191	7940	589	3170	4025	1687	4514
ZRANB3	354	115	92	530	210	201	188	369	397	911
ACVR2A	646	577	582	518	1555	582	1456	1193	1298	1446
POLK	438	557	1338	2224	1552	867	678	827	623	1337
SV2C	3	14	99	3	78	25	5	30	4	13
FLT3	27	32	29	58	76	14	150	36	5	64
RPL21	8055	5837	10132	8385	17166	9075	2533	11491	4107	16395
MTIF3	1264	876	1269	2642	1885	1856	737	1335	835	1921
GTF3A	2649	3791	3887	12105	8013	5452	1901	4665	3836	4251
RASL11A	656	158	360	527	1326	92	159	1336	1267	324
UBL3	3728	2622	3108	2641	7930	2161	1998	1744	1451	2092
LINC00544	2	1	0	3	0	0	2	0	0	1
FYTTD1	2988	1420	1920	5176	6060	8865	3334	5287	3799	6229
MTERF4	774	1121	1456	1362	1351	1294	1157	1766	990	1356
XPNPEP2	204	28	1	219	121	4	135	30	8	74
SASH3	581	1126	273	2514	1596	301	1535	644	176	1128
OCRL	1581	2824	3509	5908	3270	1481	1690	3786	2230	8227
PAEP	2	8	184	52440	2579	6	30	12	0	4
OBP2A	0	4	1	7	1	8	10	3	7	5
MRPS2	1766	1597	1590	5818	1837	2077	926	1723	3427	3770
TBX22	0	0	0	0	1	0	1	1	0	0
FMOD	666	1388	207	3256	19213	755	4369	2465	3665	5113
MYOG	0	0	0	2	0	2	3	0	0	2
LAX1	135	79	21	376	129	25	219	85	26	502
PLG	0	0	2	0	1	16	3	1	0	8
KIAA1191	2042	3718	7818	10287	8795	5935	3687	4340	4839	7745
COPA	9163	10400	13138	38635	18212	14286	10387	16179	10357	17535
CD244	66	75	20	217	114	31	98	60	13	69
LY9	169	128	26	384	235	42	210	213	28	348
HS3ST2	39	379	16	469	520	10	589	164	89	209
RBBP6	2345	1725	2570	5590	1293	3661	2736	5216	2772	5881
ZC3H7A	2054	1519	3102	3287	1941	2429	2363	3690	1598	3484
PRM2	0	0	0	0	0	0	0	0	0	20
SERAC1	556	269	278	973	579	509	452	541	835	1331
ANXA11	8561	11256	22407	24729	19726	3583	7121	7197	9474	21055
LDB3	45	17	14	83	181	23	98	9	29	73
OPN4	0	0	0	3	19	3	1	0	2	19
FAM35A	747	590	1033	2716	1607	786	489	706	978	3575
FAM213A	1767	1265	3428	5358	4392	10510	2991	8983	15556	6621
ZNF205	500	723	1470	1069	798	1057	705	1077	759	1239
NAA60	1143	1448	2342	1933	1826	1239	1837	2525	2814	3058
RPL5	25333	41410	44261	100968	54619	72257	17056	35936	30583	64980
ODF2L	1008	2787	2853	3695	1302	3300	1794	1408	748	1666
PTGFR	2	101	893	261	479	20	61	59	17	97
SPATA1	10	17	27	68	14	31	39	22	18	21
TRMT13	531	611	629	1274	355	658	596	770	579	852
LRRC39	45	68	59	41	14	110	103	22	14	46
RWDD3	156	277	204	531	208	317	223	277	249	355
ZNF644	2194	2243	1574	3814	1826	2144	2047	3087	1530	4122
CCDC18	265	81	96	651	43	389	237	454	245	690
RPAP2	756	680	799	3115	632	1264	888	1066	642	1383
PQLC1	617	2646	2606	7558	3652	2970	2439	1353	2934	4724
BBS9	305	586	820	750	1471	955	739	972	355	2395
PMS2	285	546	499	1345	502	722	399	1172	689	1979
ZMIZ2	2751	5856	6817	13814	3555	8550	4906	3470	3820	11463
OCM	3	8	5	5	1	3	10	7	1	5
SEPT7	4270	8237	5097	13432	15390	10824	5242	5745	6942	17803
EEPD1	218	489	254	433	1194	840	674	922	821	2163
KIAA0087	2	3	0	3	2	0	2	1	0	0
KLHL7	692	1669	1028	2749	2773	2518	1377	3926	1898	5009
HERPUD2	1122	1874	1231	4644	2342	2734	1834	1384	1970	5060
CBX3	3554	10140	9362	24152	11101	14585	4810	20995	9557	25156
HNRNPA2B1	19866	25185	38958	69566	25098	39415	26832	83822	45341	107803
WIPF3	15	48	40	23	113	179	200	386	929	4048
NXPH1	1	1	0	0	28	12	3	2	0	2
NPY	0	0	0	0	2	5	3655	98	2	0
FAM126A	683	953	1556	3701	3459	3450	1664	4355	1644	6033
HOXA7	8	10	9	23	52	6	49	124	30	37
INHBA	178	715	142	1679	14446	7969	1902	1639	3094	2200
FKBP9	4935	6364	3019	7625	12820	14481	42383	10709	12707	29957
NT5C3A	778	1195	1474	4438	1451	1743	1037	2272	1329	4654
ARL4A	120	1986	1057	1731	2364	3719	1343	2911	1635	2337
CCZ1	100	408	256	1132	484	524	328	1056	214	1226
POLM	522	989	1231	1859	1334	1019	920	1021	945	3383
RAMP3	965	680	495	942	2022	208	1006	481	328	617
MRM2	740	2018	1542	3388	1948	1922	1216	2258	1792	5913
TWIST1	16	39	15	52	797	222	112	228	514	273
SMU1	1804	2257	1627	8989	3849	3656	2218	7206	11770	6179
GLIPR2	536	2195	168	3881	5829	439	1888	1188	2223	960
SLC25A51	226	451	481	1557	573	362	226	1219	622	659
CLTA	3146	4743	4840	19024	8075	6035	3095	10860	23264	9479
RECK	276	277	120	764	2916	131	402	647	1229	477
SPINK4	5	0	2	1	24	0	1	0	0	9
	0	0	0	0	0	0	0	0	0	0
TAF1L	0	0	8	18	1	0	3	7	2	2
ACO1	923	2874	1932	8105	4521	1956	1572	2402	7090	2203
PHF24	8	6	6	21	36	170	1047	515	1912	77
DNAI1	102	2	65	4	124	239	76	25	14	166
DCAF10	1132	1332	1139	5477	2101	2672	1063	5030	1617	4160
CNTFR	13	3	7	6	24	3	6	68	789	2569
KIAA1549	384	375	610	68	352	72	1189	2727	2747	3783
TRIM24	4797	1899	1921	3947	1410	1527	1467	4582	2197	5671
C7orf49	551	1042	538	3938	1540	1081	1382	1416	1771	3604
CALD1	4764	2777	1570	23572	52390	5192	10195	7079	14198	16193
AKR1D1	50	0	0	0	1	3	3	9	1	2
NUDT10	8	0	5	12	175	6	364	96	189	37
SFTPA1	6529	15182	730323	239021	45052	228	146746	14512	194	2644
NEUROG3	0	3	0	2	1	0	5	2	0	1
PLAU	1577	7005	4667	10496	22694	21099	5585	6380	7630	3003
SRGN	1927	2934	1085	111119	17403	926	4344	3442	548	5046
CHST3	454	188	3434	3266	1861	4644	1253	890	2580	4924
BICC1	4377	313	569	562	5179	406	567	822	741	1018
	0	0	0	1	0	0	0	0	0	1
CISD1	452	290	869	4217	1701	911	479	1051	1070	2850
EGR2	238	344	74	717	1502	1762	686	1101	455	589
ECD	1051	1012	1541	4051	1726	943	899	1674	1828	3338
P4HA1	1714	1184	1460	8040	11697	5240	6203	5148	7721	16101
SLC25A16	925	1278	2295	1889	918	1048	632	888	864	1425
ZWINT	2325	491	475	8332	590	1981	673	5572	3498	7623
VPS26A	2826	1830	2415	15633	4462	4186	1806	3348	4120	7984
RBM19	850	1082	2174	2391	1010	1962	1485	3808	2188	3162
CIT	1134	376	2138	3125	1175	2505	1659	2318	3054	6762
IFT81	500	364	958	1736	676	601	834	646	1001	2525
ACADS	1185	1176	1706	1618	1152	1380	1303	460	1215	1509
HVCN1	189	525	136	1983	776	123	580	278	332	932
NME2P1	15	24	10	119	13	35	9	24	31	85
DDX54	2925	3378	4390	10874	2916	5228	3359	3441	6185	14770
MED13L	3504	2556	3241	7083	3153	5507	5971	4953	5974	11557
CDKN2C	368	506	172	1256	1523	740	495	676	683	4625
RNF11	2574	3927	3076	9320	10745	5230	4646	3735	3631	5559
RASSF8	653	550	268	996	2069	327	1442	2030	881	812
BHLHE41	164	1389	311	2391	2160	2558	1444	651	316	998
SSPN	180	650	210	2304	6104	681	1053	1049	677	830
ITPR2	851	1422	1553	1885	2093	565	1070	739	933	5793
CCDC91	551	639	1119	3658	1335	2087	1017	2989	1651	3338
NECAB1	450	36	83	161	237	15	206	308	53	826
WWP1	1330	1650	2905	5182	3992	5654	3545	2605	4357	7586
ACOT9	947	1223	747	7476	2503	1692	1782	1125	1161	3007
PRDX4	3745	2672	2062	26576	10779	4401	3967	3985	3731	10217
DDX39A	1496	2155	2051	9345	2234	7210	1662	6239	7082	20275
PKN1	2493	5213	7095	20704	10588	749	4407	7528	7851	15430
C19orf43	2072	3481	4198	16350	5433	4765	3016	5843	4638	12994
ADGRE5	1632	2954	10276	13933	7201	3124	4153	2236	963	5277
WDR83	182	410	527	885	365	420	343	1032	334	1114
GIPC1	2121	6047	10852	18163	7721	18256	4259	6104	8811	13448
ACTRT1	0	0	2	0	0	0	0	0	0	0
CCDC70	0	0	0	26	3	0	0	0	0	0
SPRYD7	243	525	517	1989	627	1511	413	1115	537	1070
EBPL	358	820	1486	2833	2051	1917	623	1363	1380	3577
ATP7B	105	322	175	1850	374	118	66	305	248	152
ZC3H13	2340	1880	2725	3662	2833	3531	2534	4271	2390	5932
GUCY1B2	98	8	89	157	87	159	35	18	15	32
NLN	581	1173	1873	3249	2113	2273	757	2422	1441	4484
CENPK	272	113	151	1383	224	517	262	1359	475	937
OPTN	1574	1169	1388	13486	6354	3653	4239	2980	2335	7980
ITIH5	877	401	379	677	2341	94	571	189	288	880
ATF1	1031	728	730	3430	1886	1103	1215	2299	1764	3310
TSFM	1539	978	1098	4214	1536	1188	759	3209	2077	4360
NEUROD4	0	0	0	0	0	0	0	0	0	0
ARHGAP9	388	582	204	877	673	320	897	551	155	1951
NCKAP1L	923	1843	433	3750	4342	505	2606	1203	265	1938
MMP19	218	242	53	3186	2037	188	1155	542	653	1727
PFDN5	4797	8917	11713	27771	22749	9918	5589	17385	6644	21794
SPATS2	1566	1008	1133	1951	2051	1347	1486	3847	2128	6223
ORMDL2	1849	1373	2013	4157	2226	3290	1082	2285	1623	3522
NR4A1	1400	487	2389	6466	1647	1319	3048	2168	2570	5920
PDE1B	92	176	21	266	953	55	212	99	118	139
HOXC13	644	0	0	1	22	2841	111	233	480	758
CDK2	2723	1037	1279	9283	1595	2140	1742	6127	2857	8551
LRP1	14648	8124	4405	15539	44845	8170	34738	19570	24045	63970
HOXC11	1913	0	0	10	51	485	0	225	501	666
ATG101	897	987	1260	3904	2261	1332	1035	1839	2349	3309
NFE2	39	98	458	1917	137	149	90	19	14	20
HOXC12	2480	0	1	0	0	1	1	238	0	18
IKZF4	1093	440	954	980	457	261	554	763	353	1559
SMUG1	858	1409	1179	1919	2094	1513	1069	3068	1842	3734
TUBA1B	9275	5935	4941	52249	26175	18420	12277	34480	19154	47434
METTL21B	447	620	668	552	640	489	770	965	437	934
KBTBD4	297	354	426	899	847	147	253	954	401	835
	0	0	0	0	0	0	0	0	0	0
SARDH	231	63	135	130	543	43	293	78	41	170
DBH	37	9	6	16	13	7	45	31	2	28
ATPAF1	1724	1892	1674	3151	2541	2184	1519	2412	1835	3818
STIL	872	282	105	3006	395	1288	422	984	625	2592
HJURP	561	289	118	2504	353	1440	786	4403	3049	3065
IL13RA2	8	9	4	474	117	3	68	33	25	14
COL10A1	120	1591	343	380	37975	312	2417	1030	10094	2650
AMD1	2594	1503	5515	20605	4852	3690	3800	7835	3632	8443
NDUFAF4	287	153	477	1848	619	512	381	1163	1055	1108
USP45	383	174	462	2247	423	534	402	629	443	767
PLP1	0	0	12	0	49	10	35	4	103	40
SERPINA7	0	0	0	0	0	0	0	0	0	0
MORF4L2	6226	9653	13767	29390	16924	8865	7820	19925	10539	19481
H2BFWT	41	0	0	0	0	88	1	44	25	19
RAB9B	91	9	131	19	192	46	15	171	98	61
NRK	237	47	360	25	690	2	332	2364	84	29
FAM199X	1989	2659	3511	4015	2788	2636	1610	4018	2628	6173
ESX1	0	0	0	0	0	0	0	7	0	0
MAGEA9	0	0	0	0	0	0	268	0	5	5
	0	0	0	0	0	0	0	0	0	0
RAB9A	944	774	937	3857	1639	1024	792	872	915	2301
METTL8	342	421	511	2181	594	1594	798	1501	1806	3943
TTC21B	570	492	647	754	723	712	967	1552	1371	2980
NMI	1689	960	752	3310	2409	1069	1655	1546	960	2953
TNFAIP6	57	163	16	690	1735	210	334	376	470	915
ACVR1C	39	14	17	516	26	1157	377	127	158	571
BAZ2B	713	1542	1956	1350	1241	1083	2369	2198	1383	2763
SLC36A1	459	432	737	1337	1896	1378	863	1921	1809	2061
LPGAT1	1338	3684	2917	6478	4277	5431	1893	4795	3593	6983
BATF3	35	131	486	216	292	67	153	270	65	105
G0S2	275	588	777	14259	938	155	700	303	119	188
KCNJ2	69	136	28	336	322	46	471	1654	352	995
RAP2C	1905	2226	2183	7347	2830	2078	2238	3192	2190	4078
EXOSC9	689	841	1064	3925	994	929	887	1742	995	3098
PLA2G12A	970	1073	2286	3455	2264	828	921	1363	1043	3518
B9D2	200	206	270	363	482	242	249	529	158	707
COQ8B	1496	1046	2030	1419	1737	3117	2246	5057	1297	3650
PFKFB2	828	1046	1650	1784	1179	1962	1080	1513	1112	2999
C4BPA	2460	986	69749	7260	12760	27	4449	537	4	999
C4BPB	69	71	4584	9	26	7	66	26	1	12
ZNF137P	210	52	39	147	10	182	114	182	76	16
RAB38	156	790	1296	1182	1792	9825	729	1197	566	1334
GPR83	21	8	6	11	5	9	94	7	110	40
AGO2	1846	1220	4731	5852	1592	5855	5045	5323	6058	13510
MXD4	1521	3143	5858	3202	7432	1690	3915	1897	1959	2387
PMS2P5	11	34	21	91	96	101	39	16	81	81
CKS2	223	459	812	6250	547	1681	492	3300	2330	3832
DAW1	66	1	41	283	367	63	29	3	5	78
ACSL3	2327	2548	4164	7314	5924	7110	4831	9273	5671	7427
CHPF	3166	6442	5452	9862	16749	12003	21776	5040	13264	3778
DNPEP	2106	2631	3086	6990	4449	4498	3238	3604	3901	6477
INHA	62	6	52	36	21	65	123	20	75	12
MOGAT1	0	1	0	4	1	0	0	1	0	0
OBSL1	3519	5482	9581	4316	3141	2359	7131	4144	5163	1194
FAM124B	63	90	16	37	372	12	66	59	26	67
SLC12A4	2160	1360	3507	1921	5357	4367	6343	2370	2256	3207
ENKD1	255	592	3148	645	985	363	728	482	921	1173
MC3R	0	0	0	9	3	0	1	1	1	0
GCNT7	4	5	13	7	1	4	13	17	5	34
CTCFL	0	0	0	0	1	2	101	1	85	5022
HMGB1P1	7	9	9	74	16	14	7	24	3	21
FAM210B	1255	2567	3576	6638	10179	6596	5363	6300	8558	17912
PI3	190	2	24	20	182	3463	78	334	472	15586
FAM209A	7	4	8	8	2	7	4	12	1	24
SNX21	591	1285	2696	2047	1464	703	635	641	747	1244
SLPI	1916	7617	20251	26748	37999	14168	5958	1680	184	5127
WFDC3	32	219	1102	533	190	49	65	133	13	11
TTPAL	1215	623	1055	7838	1665	3950	1097	2210	1328	4880
PREX1	1942	2036	812	3841	3622	487	3629	1472	1432	2499
KCNS1	128	2	208	590	234	1	29	64	19	43
SLC12A5	73	99	33	80	176	14	95	61	17	135
ARHGAP40	1169	1733	1386	995	132	58	39	10	0	11
SDC4	37611	25926	55025	53134	23922	31099	14019	5424	4398	14097
NCOA3	3503	2307	2964	8157	3264	8923	2838	14334	2861	6273
PIGT	10122	6126	7896	21314	15071	10417	9484	14012	5828	16016
SEMG2	1	0	0	0	0	1	0	0	0	2
MATN4	38	7	32	29	245	21	52	21	1	51
NCOA5	1866	1999	1371	5170	1996	1662	1886	2388	3169	7902
VAPB	1255	1469	2230	6677	3338	4370	3141	5664	3740	8475
PARD6B	2792	248	1405	2943	536	539	398	465	250	501
ATP5E	3520	6802	13014	26497	18453	12600	4102	20771	4719	17192
CHD6	6714	2540	3276	3672	2307	1948	4437	6875	4216	10079
PLCG1	3110	2350	3505	3280	3130	6093	4418	5346	3540	9468
TOX2	216	322	827	9277	747	2386	539	638	82	216
SRSF6	7818	5598	13683	15457	5873	7051	6936	11545	8446	16909
GDAP1L1	1	23	5	24	44	5	3	9	2	23
GTSF1L	1	2	0	2	1	1	1	1	1	6
ARFGEF2	3008	1470	2441	8943	2870	3648	2828	4061	2668	8166
ZNFX1	3891	3714	3847	10842	6351	3060	2908	2694	1940	9799
ZNF831	87	59	15	135	69	10	124	75	15	128
EDN3	0	0	125	2	6	1	0	1	0	4
CSE1L	6142	1844	2236	24610	4806	9343	3246	10527	8098	23775
TMEM189-UBE2V1	0	2	0	1	2	3	3	1	2	2
RAB22A	1324	1810	2534	7432	4786	8376	2577	3701	2931	8273
PTGIS	310	231	80	1300	7824	74	1275	821	549	978
STAU1	7172	5277	8036	17724	9702	9001	6753	11136	8684	22979
CDH26	72	26	51	151	919	152	901	1128	160	964
SNAI1	71	91	28	1830	733	204	357	100	127	311
MOCS3	765	415	563	2040	923	652	500	962	865	1533
STX16	1212	2098	4335	7203	2082	6223	3852	7998	3108	7193
PPP4R1L	183	365	908	317	263	1040	745	593	187	1177
PMEPA1	956	6650	7242	3779	14658	27414	8691	1258	3724	3151
RNF114	3176	2529	2707	12048	6474	3801	3208	5530	3650	8172
ANKRD60	0	0	0	0	0	0	0	0	0	0
DDX27	4475	2039	3650	10802	2827	5250	2623	5843	3980	8086
RBPJL	23	1	12	2	2	1	0	5	1	20
SEMG1	0	0	0	0	0	1	0	3	0	3
C20orf85	42	3	15	24	766	601	141	15	22	530
BCAS4	1668	513	1168	3093	750	2136	722	882	1550	821
KCNK15	72	66	39	26	277	64	145	74	40	37
TP53TG5	27	27	102	46	15	36	19	23	17	63
PCK1	0	0	1	2	7	3	7	3	1	8
ZBP1	278	122	98	778	212	28	243	125	16	408
NEURL2	11	22	54	41	41	26	30	47	35	36
MAGEA10	1	0	3	1	0	3	2035	7	5	4109
MTRR	1077	1209	2386	7500	3232	3297	1910	1694	1259	2302
FASTKD3	458	462	516	1474	632	731	583	664	445	759
PEPD	2189	2213	2050	8169	6264	3352	3579	5927	6513	8727
CHST8	165	2	68	8	28	3	9	8	8	4
IQSEC2	857	784	1042	2530	1192	652	970	639	771	1319
VAMP7	2013	1947	2938	5478	5085	2368	1485	2983	2695	4599
IL9R	7	20	10	19	13	6	19	27	4	57
XG	45	0	1	20	247	1532	95	70	210	1374
STAMBP	1649	1473	2275	8856	2723	2929	1801	10165	2293	5599
NAGK	1800	2847	2397	5846	4710	6762	3487	7403	2325	3363
MCEE	244	457	551	575	453	718	260	544	275	697
PAIP2B	621	303	388	427	341	609	349	895	899	1173
SNRNP27	957	1062	1078	2930	1515	1341	969	3876	1235	1878
MPHOSPH10	1696	1737	1800	4696	1380	2461	1368	5328	1790	5355
IL17C	4	2	7	3	1	0	6	0	0	13
NDUFB4P12	1	0	0	27	1	0	1	2	0	2
ATP8A1	1919	1759	7731	783	491	160	894	4233	42	375
USP22	4375	5483	11966	7986	13165	2528	8190	7336	7449	19395
POF1B	80	16	933	18	1603	2041	1048	2362	3983	1926
HIF3A	5462	150	1459	124	114	12	1350	4412	1103	2186
ZNF576	291	455	510	814	751	686	585	1199	483	1269
IRGC	7	0	2	4	0	0	2	0	1	1
ZNF45	534	488	343	382	695	470	619	993	254	2126
LYPD3	132	201	177	2394	649	20261	869	372	2722	1607
PSG8	1	0	1	0	35	0	1	0	0	0
CEACAM8	2	34	2	3	2	0	0	0	0	1
NDP	6	4	54	16	57	7	14	18	3	60
USP9X	7361	3837	3130	14908	7751	5629	5593	6620	6353	18170
CRISP2	76	2	6	1	113	14	5	70	11	5
F13A1	640	2480	382	5018	26102	121	2333	810	2523	2513
GRM4	111	111	65	0	32	460	167	25	13	46
TRERF1	530	443	734	2177	708	1353	1382	965	978	1894
PACSIN1	88	57	20	369	87	1	54	64	49	69
BTN2A2	330	1158	1138	2355	1204	139	1153	980	338	1526
SIRT5	375	597	988	1866	800	792	766	1811	1109	2192
MRS2	846	846	1768	6441	2059	1811	1061	2072	1388	2212
WRNIP1	1736	2315	3322	11824	2846	2874	2529	3719	2532	8684
RRP36	2343	1473	1976	4409	2394	1873	1339	2252	2437	3158
BTN2A3P	89	151	143	262	67	91	250	221	62	458
BTN1A1	2	2	3	27	8	1	7	5	2	24
SNRPC	4387	3209	2614	14682	4202	3022	2163	7087	2620	6675
SLC17A3	1	0	5	0	7	0	0	3	0	1
SLC17A1	0	0	1	0	0	0	0	0	0	0
SERPINB6	1033	4139	8350	9935	8285	1701	3264	2062	1434	3786
XPO5	4618	2365	2715	9175	2671	4046	2133	5062	5324	12941
ABCC10	3043	1212	2321	2824	1339	2905	2920	1987	1594	3018
HIST1H1D	2	2	3	9	1	1	4	256	17	38
PEX6	1117	889	1833	3074	2505	2905	1925	1794	4189	4204
NQO2	505	1571	2234	3811	1334	1869	1481	451	961	5148
PRICKLE4	1073	854	1541	344	169	305	793	439	190	722
OARD1	2367	1234	1436	2560	981	972	1040	2652	1046	2262
UNC5CL	454	1517	2935	2098	440	91	339	181	110	200
AARS2	1686	1312	1163	1249	718	1179	1309	2028	1110	3211
HIST1H1A	0	0	0	0	0	0	0	0	0	9
ZNF391	207	403	475	1444	291	90	377	568	290	1163
RPS10	5283	7309	10185	23250	13844	9769	3142	9114	5538	15644
MOCS1	2346	327	542	827	1861	635	556	421	259	512
HIST1H2BJ	73	49	28	61	36	30	93	157	102	134
MED20	2885	1154	888	3087	1715	1018	1058	2228	934	2657
OR2B6	4	4	0	3	4	0	0	51	3	7
TBCC	1364	2405	1701	2694	1550	1173	955	1395	1179	2216
SPDEF	27	6897	3729	1135	2420	245	80	17	3	43
TCP11	50	2	6	16	32	4	5	3	8	82
MAD2L1BP	1182	1215	1341	2619	1838	921	515	946	1139	1834
APOBEC2	33	11	12	8	4	1	23	2	5	19
KLHDC3	6251	3750	3941	9143	8156	4098	4467	5862	5750	7291
GNMT	12	12	17	105	20	7	44	8	6	19
DNAH8	216	4	4	14	16	2	19	8	2	10
TREM1	300	4495	1706	3659	4760	667	535	249	85	147
MEA1	3466	2998	3773	6084	4761	3429	2100	5326	2670	6507
KLHL31	6	7	11	113	20	73	65	150	65	68
COL21A1	114	1476	1453	268	1118	49	312	111	106	233
CDKN1A	996	5222	6895	8337	12976	16336	8158	5127	4962	5184
SOX4	7936	12409	7842	5181	8477	8119	13398	11063	12635	19163
